"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"IC.CNST.PRMT.BQCI.015.DB1619.DFRN","","Dealing with construction permits: Building quality control index (0-15) (DB16-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.COST.WRH.VAL","","Dealing with construction permits: Cost (% of Warehouse value)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.COST.WRH.VAL.DFRN","","Dealing with construction permits: Cost (% of Warehouse value) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.DFRN.DB0615","","Dealing with construction permits (DB06-15 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.DFRN.DB1619","","Dealing with construction permits (DB16-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.PROC.NO","","Dealing with construction permits: Procedures (number)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.PROC.NO.DFRN","","Dealing with construction permits: Procedures (number) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.QBR.XD.02.DB1619","","Dealing with construction permits: Quality of building regulations index (0-2) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.QCAC.XD.DB1619","","Dealing with construction permits: Quality control after construction index (0-3) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.QCBC.XD.01.DB1619","","Dealing with construction permits: Quality control before construction index (0-1) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.QCDC.XD.03.DB1619","","Dealing with construction permits: Quality control during construction index (0-3) (DB16-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.RK","","Rank: Dealing with construction permits  (DB19 methodology) (1=most business-friendly regulations)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.TM.DY","","Dealing with construction permits: Time (days)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CNST.PRMT.TM.DY.DFRN","","Dealing with construction permits: Time (days)  - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits","","","",
"IC.CRED.ACC.ACES.DB0514","","Getting Credit total score (DB05-14 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.ACES.DB1519","","Getting Credit total score (DB15-19 methodology)","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.CRD.DB0514.DFRN","","Getting credit (DB05-14 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
"IC.CRED.ACC.CRD.DB1519.DFRN","","Getting credit (DB15-19 methodology) - Score","","","","","","","","","","","","","","http://www.doingbusiness.org/en/data/exploretopics/getting-credit","","","",
